Approved Budget of the Contract,Contract Duration,Quantity,Item Budget,Award No.,Contract Amount,Month
1002500.0,6,1,1002500.0,2719180,1002500.0,4
398470.0,2,1,398470.0,2749419,398470.0,4
110000.0,15,1683,110000.0,2747619,107980.0,4
58000.0,14,100,58000.0,2738310,58000.0,4
999964.0,7,1,999964.0,2714992,999964.0,4
150000.0,1,200,150000.0,2713728,150000.0,4
3194935.0,10,1,3194935.0,2763643,3194935.0,4
504000.0,5,210,504000.0,2729307,504000.0,4
119900.0,7,20,119900.0,2729629,119800.0,4
956800.0,10,368,956800.0,2732089,920000.0,4
2928500.0,7,135,2928500.0,2763477,317250.0,4
280000.0,10,10,280000.0,2734386,280000.0,4
121500.0,30,2,121500.0,2760841,121500.0,4
101160.0,7,916,101160.0,2748599,88100.0,4
22100.0,14,26,22100.0,2759660,22100.0,4
117000.0,1,600,117000.0,2725958,116200.0,4
375000.0,7,500,375000.0,2735132,375000.0,4
1021000.0,7,1,1021000.0,2747304,309120.0,4
60000.0,7,100,60000.0,2736505,54000.0,4
80000.0,15,10,80000.0,2717361,45000.0,4
1999979.0,4,1,1999979.0,2716368,1999979.0,4
1255000.0,3,50,1255000.0,2728449,1250000.0,4
749300.0,7,1,749300.0,2707842,724150.0,4
12752.0,7,1,12752.0,2706864,332750.0,4
1500000.0,7,1000,1500000.0,2746176,1500000.0,4
2928500.0,7,1000,2928500.0,2763319,1500000.0,4
500.0,7,100,500.0,2736465,150.0,4
480800.0,7,360,480800.0,2728657,480800.0,4
410000.0,1,1000,410000.0,2754503,410000.0,4
1370000.0,5,5500,1370000.0,2729411,1370000.0,4
999984.45,7,1,999984.45,2732922,999984.45,4
1685953.95,5,1,1685953.95,2703015,1550000.0,4
65436.0,7,23,65436.0,2737426,61550.0,4
5775000.0,60,52500,5775000.0,2729564,5769225.0,4
111000.0,7,600,111000.0,2745189,108000.0,4
1249386.0,20,1,1249386.0,2722076,1244595.0,4
500000.0,15,1,500000.0,2712849,436920.0,4
11636582.0,7,1,11636582.0,2713745,11636582.0,4
44600.0,7,213,44600.0,2748792,44600.0,4
690000.0,7,300,690000.0,2711580,690000.0,4
225000.0,30,25,225000.0,2762741,224250.0,4
70000.0,1,100,70000.0,2754805,70000.0,4
90800.0,2,1,90800.0,2719566,90800.0,4
230000.0,7,1000,230000.0,2724778,230000.0,4
30000.0,7,1,30000.0,2750310,15000.0,4
399589.0,30,1,399589.0,2721869,398805.0,4
5805850.0,7,1,5805850.0,2761490,5805850.0,4
161000.0,7,10,161000.0,2734776,160000.0,4
2200.0,7,20,2200.0,2736152,600.0,4
588100.0,15,1,588100.0,2735131,588100.0,4
2800.0,7,250,2800.0,2749995,2750.0,4
618000.0,30,1,618000.0,2705628,608000.0,4
151100.0,15,185,151100.0,2714749,151100.0,4
2500000.0,30,2,2500000.0,2764671,2500000.0,4
1133962.4,2,1,1133962.4,2699943,1133962.4,4
4000000.0,30,1,4000000.0,2724076,3995987.5,4
